;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
33562;609793;2024-06-24;segunda-feira;18:55:00;SP;116.0;391.9;MIRACATU;Reação tardia ou ineficiente do condutor;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Nublado;Dupla;"Reta;Em Obras";Urbano;0;0;2;0
33574;609806;2024-06-24;segunda-feira;20:20:00;SP;381.0;54.0;MAIRIPORA;Pedestre andava na pista;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Urbano;1;0;1;1
33576;609808;2024-06-24;segunda-feira;19:50:00;SP;116.0;445.0;REGISTRO;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Crescente;Não Informado;Dupla;Reta;Urbano;1;0;2;0
33578;609810;2024-06-24;segunda-feira;19:50:00;SP;101.0;50.0;UBATUBA;Ingestão de álcool pelo condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Simples;Reta;Urbano;0;0;1;0
33587;609819;2024-06-24;segunda-feira;19:45:00;SP;116.0;279.0;EMBU DAS ARTES;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Urbano;0;0;2;0
33588;609820;2024-06-24;segunda-feira;16:45:00;SP;153.0;334.5;SALTO GRANDE;Ausência de reação do condutor;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Simples;Reta;Rural;0;0;1;0
33619;609854;2024-06-25;terça-feira;03:00:00;SP;116.0;225.0;GUARULHOS;Condutor Dormindo;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Múltipla;"Reta;Aclive";Urbano;2;0;1;0
33621;609857;2024-06-25;terça-feira;00:20:00;SP;116.0;499.0;CAJATI;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuvoso;Simples;Curva;Rural;0;0;1;0
33626;609862;2024-06-25;terça-feira;04:20:00;SP;116.0;0.0;QUELUZ;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;1;0
33637;609873;2024-06-25;terça-feira;07:00:00;SP;381.0;69.0;MAIRIPORA;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;"Curva;Aclive";Rural;0;0;1;0
33647;609884;2024-06-25;terça-feira;08:20:00;SP;153.0;75.6;BADY BASSITT;Ausência de reação do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ensolarado;Dupla;"Curva;Declive";Urbano;0;0;2;0
33667;609906;2024-06-25;terça-feira;09:20:00;SP;116.0;362.0;MIRACATU;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuvoso;Dupla;Curva;Rural;0;0;1;0
33676;609915;2024-06-25;terça-feira;08:00:00;SP;381.0;82.0;SAO PAULO;Acessar a via sem observar a presença dos outros veículos;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;1;1
33684;609923;2024-06-25;terça-feira;09:00:00;SP;116.0;114.0;TAUBATE;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
33687;609926;2024-06-25;terça-feira;11:55:00;SP;153.0;62.0;SAO JOSE DO RIO PRETO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;1;0;2;0
33815;610066;2024-06-25;terça-feira;23:20:00;SP;116.0;29.8;CRUZEIRO;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Fatais;Plena Noite;Crescente;Ensolarado;Múltipla;"Reta;Aclive";Rural;5;0;1;0
33833;610106;2024-06-26;quarta-feira;06:40:00;SP;116.0;138.0;SAO JOSE DOS CAMPOS;Trafegar com motocicleta (ou similar) entre as faixas;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;1;0
